Date,Time,Open,High,Low,Close,Value
2022.07.27,12:00,1.20598,1.20877,1.20428,1.20471,24576
2022.07.27,16:00,1.20473,1.20586,1.20206,1.20386,27339
2022.07.27,20:00,1.20385,1.21863,1.20292,1.21558,36660
2022.07.28,00:00,1.21529,1.21700,1.21417,1.21481,9148
2022.07.28,04:00,1.21483,1.21860,1.21457,1.21593,14108
2022.07.28,08:00,1.21593,1.21917,1.21536,1.21870,28514
2022.07.28,12:00,1.21871,1.21871,1.21032,1.21394,34985
2022.07.28,16:00,1.21394,1.21661,1.21090,1.21303,37933
2022.07.28,20:00,1.21304,1.21836,1.21296,1.21781,12231
2022.07.29,00:00,1.21768,1.21800,1.21618,1.21737,12857
2022.07.29,04:00,1.21737,1.22036,1.21624,1.21878,16803
2022.07.29,08:00,1.21878,1.22457,1.21552,1.21698,28590
2022.07.29,12:00,1.21694,1.21869,1.21060,1.21152,30556
2022.07.29,16:00,1.21154,1.21866,1.20632,1.21687,39543
2022.07.29,20:00,1.21687,1.21885,1.21518,1.21822,8998
2022.08.01,00:00,1.21574,1.21881,1.21454,1.21726,9736
2022.08.01,04:00,1.21726,1.21983,1.21678,1.21829,13392
2022.08.01,08:00,1.21828,1.22308,1.21740,1.22305,18365
2022.08.01,12:00,1.22305,1.22617,1.22185,1.22477,24761
2022.08.01,16:00,1.22477,1.22935,1.22351,1.22770,35103
2022.08.01,20:00,1.22771,1.22774,1.22413,1.22483,14116
2022.08.02,00:00,1.22451,1.22786,1.22389,1.22701,10277
2022.08.02,04:00,1.22701,1.22763,1.22438,1.22485,22083
2022.08.02,08:00,1.22485,1.22563,1.21858,1.21917,28869
2022.08.02,12:00,1.21913,1.22279,1.21912,1.22213,25549
2022.08.02,16:00,1.22220,1.22409,1.21797,1.22144,38017
2022.08.02,20:00,1.22139,1.22144,1.21581,1.21652,17597
2022.08.03,00:00,1.21600,1.21721,1.21343,1.21463,14948
2022.08.03,04:00,1.21466,1.21940,1.21452,1.21796,15521
2022.08.03,08:00,1.21795,1.22079,1.21570,1.21785,22000
2022.08.03,12:00,1.21785,1.22055,1.21668,1.21746,25294
2022.08.03,16:00,1.21745,1.21799,1.21001,1.21427,37888
2022.08.03,20:00,1.21427,1.21553,1.21378,1.21462,14101
2022.08.04,00:00,1.21412,1.21601,1.21338,1.21585,7278
2022.08.04,04:00,1.21584,1.21675,1.21440,1.21554,12248
2022.08.04,08:00,1.21554,1.21758,1.21286,1.21648,17515
2022.08.04,12:00,1.21649,1.22164,1.20647,1.21129,33684
2022.08.04,16:00,1.21127,1.21615,1.20900,1.21459,33415
2022.08.04,20:00,1.21455,1.21758,1.21444,1.21586,11617
2022.08.05,00:00,1.21550,1.21629,1.21341,1.21381,8033
2022.08.05,04:00,1.21381,1.21468,1.21299,1.21404,12397
2022.08.05,08:00,1.21404,1.21690,1.21356,1.21446,16016
2022.08.05,12:00,1.21446,1.21488,1.20250,1.20274,24975
2022.08.05,16:00,1.20273,1.20842,1.20034,1.20775,38370
2022.08.05,20:00,1.20773,1.20942,1.20606,1.20730,10525
2022.08.08,00:00,1.20659,1.20679,1.20470,1.20560,4940
2022.08.08,04:00,1.20559,1.20799,1.20547,1.20763,9149
